max_num_unchanged,probability,objective
0,0.1,44.47757197346658
0,0.2,30.82277616216943
0,0.3,35.61567970269696
0,0.4,26.196345699307543
0,0.5,26.77239843188841
0,0.6,25.61525169335644
0,0.7000000000000001,30.831188160617486
0,0.8,26.522315210388403
0,0.9,29.19641812229884
1,0.1,45.136531625733056
1,0.2,28.14777204267329
1,0.3,37.80118679867472
1,0.4,25.287307973141388
1,0.5,22.593311955625275
1,0.6,22.99719292538113
1,0.7000000000000001,26.41439145119758
1,0.8,24.286731082887627
1,0.9,30.61578610724049
2,0.1,24.58754565062361
2,0.2,26.154671389508987
2,0.3,26.645298892742787
2,0.4,21.516093893453338
2,0.5,23.06055102876121
2,0.6,22.21654324504827
2,0.7000000000000001,24.22317837684807
2,0.8,25.774039527216136
2,0.9,30.88096709555418
3,0.1,30.407595601600924
3,0.2,26.29263186308096
3,0.3,42.114085654152575
3,0.4,41.718666356086935
3,0.5,27.115477715524392
3,0.6,23.80220445959996
3,0.7000000000000001,25.469506083830915
3,0.8,28.37324099223069
3,0.9,30.865750331485543
4,0.1,35.988090230722165
4,0.2,25.577509782428
4,0.3,29.72553846592354
4,0.4,25.97483254244
4,0.5,25.315773771397943
4,0.6,23.25745218149658
4,0.7000000000000001,26.418361885461408
4,0.8,29.33246100063716
4,0.9,33.893730233851514
5,0.1,30.723554492506235
5,0.2,26.49149885505348
5,0.3,40.80179691138982
5,0.4,25.91841569690748
5,0.5,24.80849260674054
5,0.6,26.435968204752783
5,0.7000000000000001,26.832275013544788
5,0.8,31.3498967159112
5,0.9,33.72187960207883
6,0.1,27.74241048169571
6,0.2,26.81358229595031
6,0.3,29.8728208645183
6,0.4,27.01350905410476
6,0.5,27.83702038205957
6,0.6,28.17669482120285
6,0.7000000000000001,30.66810024940247
6,0.8,30.21870016218103
6,0.9,34.39050463012574
7,0.1,34.02527990204342
7,0.2,30.30219716384936
7,0.3,31.742116253589646
7,0.4,27.77056953554608
7,0.5,29.11241042225463
7,0.6,33.120880684374924
7,0.7000000000000001,31.65569686177988
7,0.8,34.306040038956695
7,0.9,37.77059859927031
8,0.1,30.951716085390164
8,0.2,31.92460462317584
8,0.3,31.991055632926525
8,0.4,31.188248799573536
8,0.5,30.907545684549262
8,0.6,33.05670850337795
8,0.7000000000000001,32.11428368475623
8,0.8,36.63311328039701
8,0.9,43.064878824646655
9,0.1,31.8360565832328
9,0.2,33.744418421380445
9,0.3,33.29478908615431
9,0.4,30.4359290147697
9,0.5,33.07405420159282
9,0.6,34.40219314959585
9,0.7000000000000001,34.5016073485019
9,0.8,36.64697319256394
9,0.9,44.94339398370132
7,0.900990099009901,38.76449721749916
5,0.9108910891089108,34.755065283369845
10,0.9207920792079208,46.69007838178578
0,0.9306930693069309,28.719410518885027
5,0.9405940594059408,37.27490691792536
3,0.9504950495049505,38.74634686228884
8,0.9603960396039604,58.00841373546858
1,0.9702970297029704,37.0204644688556
6,0.9801980198019802,50.76541381172619
4,0.99009900990099,54.71339523959375
2,0.3849991556141103,20.95003171500941
2,0.3699320928464143,22.52962854134529
2,0.3677252641697483,23.710009809905184
2,0.3518362103978737,23.697967484543906
1,0.3672318128566492,21.520230913240685
1,0.3605420802273735,25.60254057663614
2,0.340566671573843,22.88401443378106
2,0.3380587570754419,26.432193231646515
3,0.3677221833807542,21.25224571992099
3,0.3678394125242811,22.799426021575638
4,0.23987138186573292,24.70029442141733
10,0.7692489242485089,39.34151061737716
3,0.1712762182160429,26.7018843075559
3,0.1274880987930095,28.707204172074995
3,0.4540290138281382,22.78842736228632
3,0.46798493140750463,21.30083998519542
1,0.28400418888790874,25.342738975221287
9,0.5460281926333823,33.1475856312809
4,0.42796475818973423,25.068557545413338
10,0.8915698433466066,44.02585909822998
3,0.36762560906284186,23.580529680028395
3,0.3714945926013366,23.19830906773164
