instance,solved,k,time
1,True,3,0.00221056
3,True,42,0.565216
5,True,46,0.140978
7,True,86,2.66046
9,True,90,1.32718
11,True,81,0.547119
13,True,181,59.6558
15,True,164,1.20387
17,True,236,37.2859
19,True,298,107.63
21,True,322,0.724357
23,True,281,1.67923
25,True,439,0.508976
27,True,432,6.72165
29,True,509,2.82559
31,True,285,0.381234
33,True,672,3.14772
35,True,385,0.545729
37,True,703,47.672
39,True,665,1.8245
41,True,184,0.475288
43,False,979,1800.31
45,True,1085,1058.66
47,True,749,1.15483
49,True,854,3.36395
51,False,1519,1800.63
53,False,1477,1801.47
55,True,1410,17.3927
57,True,122,0.162435
59,True,976,7.15253
61,True,116,0.130302
63,True,665,2.5281
65,True,128,0.195603
67,True,792,1.86741
69,False,1989,1801.63
71,True,2131,1240.93
73,True,1612,2.86644
75,True,132,0.114821
77,True,78,0.0513286
79,True,48,0.0447278
81,True,2042,136.286
83,False,2798,1805.65
85,True,1047,5.49417
87,True,3243,75.5241
89,True,534,1.16088
91,False,3057,1804.89
93,False,3830,1800.26
95,True,358,1.28596
97,True,95,0.126624
99,True,650,43.8227
101,False,4128,1801.0
103,False,4366,1804.91
105,True,5320,650.676
107,True,274,15.9473
109,True,2436,14.1535
111,True,2412,6.55371
113,True,999,4.89061
115,True,306,0.920333
117,True,2777,26.7132
119,True,184,0.247144
121,True,742,1.96504
123,True,416,0.549192
125,True,1413,5.30169
127,True,130,0.212203
129,True,2211,9.42486
131,True,386,6.97572
133,True,4836,21.7757
135,True,772,1.34816
137,True,16,0.0561936
139,True,5514,129.615
141,True,697,119.78
143,True,1475,26.3049
145,True,1761,4.42429
147,True,3975,56.8782
149,True,5807,67.025
151,True,1258,4.0748
153,True,6,0.114836
155,True,63,0.16293
157,True,1117,2.41929
159,True,1483,10.9439
161,True,333,0.66172
163,True,1538,4.02708
165,True,6094,20.6613
167,False,9390,1815.57
169,False,9342,1820.07
171,True,2901,19.1263
173,True,100,0.248343
175,True,557,1.43405
177,True,4089,227.535
179,False,627,1800.07
181,False,1527,1800.16
183,False,2727,1800.19
185,True,203,0.286113
187,True,3814,83.4531
189,True,8563,254.948
191,False,18211,1800.32
193,False,20405,1862.03
195,False,996,1800.25
197,False,15752,1809.52
199,True,27073,1174.27
