Graph,k,Total Time [s],Solved
exact001.gr,3,0,True
exact003.gr,42,0.204736,True
exact005.gr,46,0.166578,True
exact007.gr,86,9.31235,True
exact009.gr,90,2.34641,True
exact011.gr,81,0.029729,True
exact013.gr,,60,False
exact015.gr,164,18.6306,True
exact017.gr,,60,False
exact019.gr,,60,False
exact021.gr,,60,False
exact023.gr,281,24.3555,True
exact025.gr,,60,False
exact027.gr,,60,False
exact029.gr,,60,False
exact031.gr,285,0.035984,True
exact033.gr,,60,False
exact035.gr,385,0.330243,True
exact037.gr,,60,False
exact039.gr,,60,False
exact041.gr,184,0.070267,True
exact043.gr,,60,False
exact045.gr,,60,False
exact047.gr,749,0.17799,True
exact049.gr,,60,False
exact051.gr,,60,False
exact053.gr,,60,False
exact055.gr,,60,False
exact057.gr,122,0,True
exact059.gr,,60,False
exact061.gr,116,0.000649,True
exact063.gr,665,0.001408,True
exact065.gr,128,0.069989,True
exact067.gr,792,0.008384,True
exact069.gr,,60,False
exact071.gr,,60,False
exact073.gr,,60,False
exact075.gr,132,0.07964,True
exact077.gr,78,0.033107,True
exact079.gr,48,0,True
exact081.gr,,60,False
exact083.gr,,60,False
exact085.gr,1047,2.79876,True
exact087.gr,,60,False
exact089.gr,,60,False
exact091.gr,,60,False
exact093.gr,,60,False
exact095.gr,358,1.25418,True
exact097.gr,95,0.000425,True
exact099.gr,,60,False
exact101.gr,,60,False
exact103.gr,,60,False
exact105.gr,,60,False
exact107.gr,,60,False
exact109.gr,,60,False
exact111.gr,2412,39.4618,True
exact113.gr,999,0.567378,True
exact115.gr,306,0.010805,True
exact117.gr,,60,False
exact119.gr,184,0.001771,True
exact121.gr,742,5.52529,True
exact123.gr,416,0.235616,True
exact125.gr,,60,False
exact127.gr,130,8.2e-05,True
exact129.gr,,60,False
exact131.gr,,60,False
exact133.gr,,60,False
exact135.gr,772,0.000116,True
exact137.gr,16,8e-05,True
exact139.gr,,60,False
exact141.gr,,60,False
exact143.gr,,60,False
exact145.gr,,60,False
exact147.gr,,60,False
exact149.gr,,60,False
exact151.gr,1258,0.680328,True
exact153.gr,6,0.262152,True
exact155.gr,63,0.000448,True
exact157.gr,,60,False
exact159.gr,1483,6.86991,True
exact161.gr,333,0.062683,True
exact163.gr,,60,False
exact165.gr,,60,False
exact167.gr,,60,False
exact169.gr,,60,False
exact171.gr,2901,1.75907,True
exact173.gr,100,0,True
exact175.gr,557,0,True
exact177.gr,,60,False
exact179.gr,,60,False
exact181.gr,,60,False
exact183.gr,,60,False
exact185.gr,203,0.052008,True
exact187.gr,,60,False
exact189.gr,,60,False
exact191.gr,,60,False
exact193.gr,,60,False
exact195.gr,,60,False
exact197.gr,,60,False
exact199.gr,27073,33.2962,True
