graph,k,time
exact001.gr,3,0.000787567
exact003.gr,42,0.00449663
exact005.gr,46,0.00360093
exact007.gr,86,0.00662122
exact009.gr,90,0.00569148
exact011.gr,81,0.00574828
exact013.gr,181,0.0107695
exact015.gr,164,0.010074
exact017.gr,236,0.0143619
exact019.gr,298,0.0168419
exact021.gr,322,0.0164309
exact023.gr,281,0.0159258
exact025.gr,439,0.022323
exact027.gr,432,0.021934
exact029.gr,509,0.0265131
exact031.gr,285,0.0282173
exact033.gr,672,0.0310203
exact035.gr,385,0.0323843
exact037.gr,703,0.0341385
exact039.gr,665,0.0331127
exact041.gr,184,0.0342537
exact043.gr,984,0.0425615
exact045.gr,1085,0.045922
exact047.gr,749,0.0537244
exact049.gr,854,0.0417472
exact051.gr,1619,0.0798594
exact053.gr,1481,0.066813
exact055.gr,1410,0.0725099
exact057.gr,122,0.0168414
exact059.gr,976,0.0521778
exact061.gr,116,0.0168233
exact063.gr,665,0.0421074
exact065.gr,128,0.0801391
exact067.gr,792,0.0486834
exact069.gr,2140,0.101951
exact071.gr,2131,0.0992955
exact073.gr,1612,0.0880959
exact075.gr,132,0.0229333
exact077.gr,78,0.0411209
exact079.gr,48,0.0158827
exact081.gr,2042,0.0821802
exact083.gr,2939,0.113735
exact085.gr,1047,0.0945471
exact087.gr,3243,0.135129
exact089.gr,534,0.0402362
exact091.gr,3234,0.136672
exact093.gr,3842,0.135917
exact095.gr,358,0.109027
exact097.gr,95,0.0347198
exact099.gr,650,0.0566513
exact101.gr,4198,0.157199
exact103.gr,4572,0.187991
exact105.gr,5320,0.237709
exact107.gr,274,0.034837
exact109.gr,2436,0.104978
exact111.gr,2412,0.162709
exact113.gr,999,0.18287
exact115.gr,306,0.039258
exact117.gr,2777,0.126964
exact119.gr,184,0.0328016
exact121.gr,742,0.0893475
exact123.gr,416,0.0430935
exact125.gr,1413,0.104371
exact127.gr,130,0.0479694
exact129.gr,2211,0.124774
exact131.gr,386,0.0555086
exact133.gr,4836,0.224943
exact135.gr,772,0.0657339
exact137.gr,16,0.0596608
exact139.gr,5514,0.205072
exact141.gr,697,0.0621531
exact143.gr,1475,0.081913
exact145.gr,1761,0.0951074
exact147.gr,3975,0.171161
exact149.gr,5807,0.240804
exact151.gr,1258,0.252872
exact153.gr,6,0.231619
exact155.gr,63,0.0352761
exact157.gr,1117,0.0730644
exact159.gr,1483,0.219599
exact161.gr,333,0.059539
exact163.gr,1538,0.103725
exact165.gr,6094,0.307712
exact167.gr,9861,0.382627
exact169.gr,9561,0.358858
exact171.gr,2901,0.368686
exact173.gr,100,0.0398537
exact175.gr,557,0.0676337
exact177.gr,4089,0.228251
exact179.gr,633,0.334007
exact181.gr,1563,0.833716
exact183.gr,2788,0.195002
exact185.gr,203,0.0447743
exact187.gr,3814,0.166975
exact189.gr,8563,0.459812
exact191.gr,18427,0.645712
exact193.gr,20429,0.763814
exact195.gr,2529,5.30355
exact197.gr,15831,0.626139
exact199.gr,27073,1.53297
