graph,opt,upper,lower,timeout
exact001.gr,3.0,3.0,3.0,20s
exact003.gr,42.0,43.0,35.0,20s
exact005.gr,46.0,48.0,40.0,20s
exact007.gr,-1,88.0,69.0,20s
exact009.gr,90.0,91.0,79.0,20s
exact011.gr,81.0,81.0,81.0,20s
exact013.gr,-1,187.0,143.0,20s
exact015.gr,-1,169.0,155.0,20s
exact017.gr,-1,251.0,187.0,20s
exact019.gr,-1,336.0,234.0,20s
exact021.gr,322.0,324.0,307.0,20s
exact023.gr,281.0,283.0,274.0,20s
exact025.gr,439.0,460.0,430.0,20s
exact027.gr,-1,448.0,380.0,20s
exact029.gr,-1,546.0,480.0,20s
exact031.gr,285.0,285.0,285.0,20s
exact033.gr,-1,673.0,638.0,20s
exact035.gr,385.0,396.0,384.0,20s
exact037.gr,-1,707.0,611.0,20s
exact039.gr,-1,688.0,638.0,20s
exact041.gr,184.0,184.0,184.0,20s
exact043.gr,-1,1059.0,787.0,20s
exact045.gr,-1,1146.0,942.0,20s
exact047.gr,749.0,749.0,749.0,20s
exact049.gr,-1,854.0,838.0,20s
exact051.gr,-1,1819.0,1107.0,20s
exact053.gr,-1,1560.0,1258.0,20s
exact055.gr,-1,1552.0,1375.0,20s
exact057.gr,122.0,123.0,117.0,20s
exact059.gr,-1,986.0,934.0,20s
exact061.gr,116.0,116.0,116.0,20s
exact063.gr,-1,860.0,652.0,20s
exact065.gr,128.0,128.0,128.0,20s
exact067.gr,792.0,798.0,790.0,20s
exact069.gr,-1,2561.0,1432.0,20s
exact071.gr,-1,2226.0,2017.0,20s
exact073.gr,-1,1612.0,1608.0,20s
exact075.gr,132.0,132.0,132.0,20s
exact077.gr,78.0,78.0,78.0,20s
exact079.gr,48.0,48.0,48.0,20s
exact081.gr,-1,2147483647.0,1715.0,20s
exact083.gr,-1,3335.0,2090.0,20s
exact085.gr,1047.0,1047.0,1047.0,20s
exact087.gr,-1,2147483647.0,3106.0,20s
exact089.gr,-1,534.0,521.0,20s
exact091.gr,-1,3903.0,2268.0,20s
exact093.gr,-1,-1,-1,20s
exact095.gr,358.0,358.0,358.0,20s
exact097.gr,96.0,97.0,91.0,20s
exact099.gr,-1,651.0,563.0,20s
exact101.gr,-1,-1,-1,20s
exact103.gr,-1,-1,-1,20s
exact105.gr,-1,-1,-1,20s
exact107.gr,-1,285.0,220.0,20s
exact109.gr,-1,2486.0,2407.0,20s
exact111.gr,-1,2147483647.0,2410.0,20s
exact113.gr,999.0,999.0,999.0,20s
exact115.gr,-1,313.0,296.0,20s
exact117.gr,-1,2962.0,2659.0,20s
exact119.gr,184.0,184.0,184.0,20s
exact121.gr,742.0,884.0,742.0,20s
exact123.gr,416.0,416.0,416.0,20s
exact125.gr,-1,1419.0,1399.0,20s
exact127.gr,130.0,133.0,129.0,20s
exact129.gr,-1,2214.0,2164.0,20s
exact131.gr,-1,394.0,345.0,20s
exact133.gr,-1,-1,-1,20s
exact135.gr,-1,789.0,768.0,20s
exact137.gr,16.0,16.0,16.0,20s
exact139.gr,-1,2147483647.0,5447.0,20s
exact141.gr,-1,721.0,595.0,20s
exact143.gr,-1,2147483647.0,1417.0,20s
exact145.gr,-1,1783.0,1746.0,20s
exact147.gr,-1,-1,-1,20s
exact149.gr,-1,-1,-1,20s
exact151.gr,1258.0,1258.0,1258.0,20s
exact153.gr,6.0,6.0,6.0,20s
exact155.gr,63.0,63.0,63.0,20s
exact157.gr,-1,1137.0,1074.0,20s
exact159.gr,1483.0,1483.0,1481.0,20s
exact161.gr,-1,339.0,322.0,20s
exact163.gr,-1,1614.0,1531.0,20s
exact165.gr,-1,-1,-1,20s
exact167.gr,-1,-1,-1,20s
exact169.gr,-1,-1,-1,20s
exact171.gr,-1,-1,-1,20s
exact173.gr,-1,100.0,99.0,20s
exact175.gr,-1,584.0,552.0,20s
exact177.gr,-1,-1,-1,20s
exact179.gr,-1,665.0,560.0,20s
exact181.gr,-1,1627.0,1359.0,20s
exact183.gr,-1,3149.0,2453.0,20s
exact185.gr,203.0,205.0,199.0,20s
exact187.gr,-1,-1,-1,20s
exact189.gr,-1,-1,-1,20s
exact191.gr,-1,-1,-1,20s
exact193.gr,-1,-1,-1,20s
exact195.gr,-1,2783.0,1921.0,20s
exact197.gr,-1,-1,-1,20s
exact199.gr,-1,-1,-1,20s
