graph,solution,timeout
exact001.gr,3.0,10s
exact003.gr,-1,10s
exact005.gr,-1,10s
exact007.gr,-1,10s
exact009.gr,-1,10s
exact011.gr,81.0,10s
exact013.gr,-1,10s
exact015.gr,-1,10s
exact017.gr,-1,10s
exact019.gr,-1,10s
exact021.gr,-1,10s
exact023.gr,281.0,10s
exact025.gr,-1,10s
exact027.gr,-1,10s
exact029.gr,-1,10s
exact031.gr,285.0,10s
exact033.gr,-1,10s
exact035.gr,385.0,10s
exact037.gr,-1,10s
exact039.gr,-1,10s
exact041.gr,184.0,10s
exact043.gr,-1,10s
exact045.gr,-1,10s
exact047.gr,749.0,10s
exact049.gr,-1,10s
exact051.gr,-1,10s
exact053.gr,-1,10s
exact055.gr,-1,10s
exact057.gr,122.0,10s
exact059.gr,-1,10s
exact061.gr,116.0,10s
exact063.gr,-1,10s
exact065.gr,128.0,10s
exact067.gr,-1,10s
exact069.gr,-1,10s
exact071.gr,-1,10s
exact073.gr,-1,10s
exact075.gr,132.0,10s
exact077.gr,78.0,10s
exact079.gr,48.0,10s
exact081.gr,-1,10s
exact083.gr,-1,10s
exact085.gr,1047.0,10s
exact087.gr,-1,10s
exact089.gr,-1,10s
exact091.gr,-1,10s
exact093.gr,-1,10s
exact095.gr,358.0,10s
exact097.gr,96.0,10s
exact099.gr,-1,10s
exact101.gr,-1,10s
exact103.gr,-1,10s
exact105.gr,-1,10s
exact107.gr,-1,10s
exact109.gr,-1,10s
exact111.gr,-1,10s
exact113.gr,999.0,10s
exact115.gr,-1,10s
exact117.gr,-1,10s
exact119.gr,184.0,10s
exact121.gr,742.0,10s
exact123.gr,416.0,10s
exact125.gr,-1,10s
exact127.gr,130.0,10s
exact129.gr,-1,10s
exact131.gr,-1,10s
exact133.gr,-1,10s
exact135.gr,-1,10s
exact137.gr,16.0,10s
exact139.gr,-1,10s
exact141.gr,-1,10s
exact143.gr,-1,10s
exact145.gr,-1,10s
exact147.gr,-1,10s
exact149.gr,-1,10s
exact151.gr,1258.0,10s
exact153.gr,6.0,10s
exact155.gr,63.0,10s
exact157.gr,-1,10s
exact159.gr,1483.0,10s
exact161.gr,-1,10s
exact163.gr,-1,10s
exact165.gr,-1,10s
exact167.gr,-1,10s
exact169.gr,-1,10s
exact171.gr,-1,10s
exact173.gr,-1,10s
exact175.gr,-1,10s
exact177.gr,-1,10s
exact179.gr,-1,10s
exact181.gr,-1,10s
exact183.gr,-1,10s
exact185.gr,203.0,10s
exact187.gr,-1,10s
exact189.gr,-1,10s
exact191.gr,-1,10s
exact193.gr,-1,10s
exact195.gr,-1,10s
exact197.gr,-1,10s
exact199.gr,-1,10s
